Transaction_ID,Date,Customer_ID,Amount,Category,Payment_Method,Location
1,2024-11-23,CUST534,357.27,Home,Credit Card,Houston
2,2024-02-27,CUST349,457.78,Groceries,Credit Card,Houston
3,2024-01-13,CUST776,333.28,Books,Debit Card,New York
4,2024-05-20,CUST651,426.84,Groceries,PayPal,Miami
5,2024-05-05,CUST164,77.15,Clothing,PayPal,Miami
6,2024-04-24,CUST24,173.38,Home,Debit Card,Houston
7,2024-03-12,CUST29,180.13,Clothing,Credit Card,New York
8,2024-02-22,CUST912,70.85,Groceries,PayPal,Miami
9,2024-12-12,CUST816,195.69,Clothing,Credit Card,Houston
10,2024-10-06,CUST553,423.28,Electronics,PayPal,Chicago
11,2024-02-14,CUST607,369.46,Home,Credit Card,Miami
12,2024-10-29,CUST265,438.85,Groceries,Cash,Houston
13,2024-08-04,CUST248,400.25,Home,Debit Card,New York
14,2024-01-17,CUST853,308.64,Clothing,PayPal,Los Angeles
15,2024-01-16,CUST793,485.52,Electronics,Debit Card,Los Angeles
16,2024-02-17,CUST312,165.3,Clothing,Cash,Miami
17,2024-04-21,CUST744,116.29,Home,Cash,Miami
18,2024-04-29,CUST433,413.94,Electronics,Debit Card,Los Angeles
19,2024-09-15,CUST518,126.72,Books,PayPal,New York
20,2024-11-04,CUST114,81.73,Home,Credit Card,Miami
21,2024-01-14,CUST750,496.38,Books,Debit Card,Houston
22,2024-10-14,CUST62,18.05,Books,Credit Card,Miami
23,2024-04-11,CUST862,116.11,Clothing,Credit Card,Miami
24,2024-11-28,CUST382,349.06,Clothing,Cash,Chicago
25,2024-12-25,CUST266,113.39,Clothing,Debit Card,Houston
26,2024-10-06,CUST643,438.19,Clothing,Debit Card,Houston
27,2024-08-02,CUST520,222.98,Books,Credit Card,Miami
28,2024-04-22,CUST363,406.71,Electronics,Debit Card,Miami
29,2024-08-17,CUST127,76.96,Groceries,Cash,Miami
30,2024-10-28,CUST49,151.91,Books,Credit Card,Miami
31,2024-05-22,CUST775,482.47,Electronics,Credit Card,Los Angeles
32,2024-01-04,CUST667,429.48,Home,Credit Card,Chicago
33,2024-03-22,CUST964,244.22,Books,Credit Card,Los Angeles
34,2024-12-23,CUST128,222.28,Books,Cash,Houston
35,2024-08-04,CUST460,280.38,Home,Debit Card,Chicago
36,2024-06-23,CUST306,499.19,Clothing,PayPal,Miami
